"","ColdCorals_All_MPA","ColdCorals","CoralReefs_All_MPA","CoralReefs","KnollSeamounts_All_MPA","KnollSeamounts","mangroves_All_MPA","mangroves","Saltmarshes_All_MPA","Saltmarshes","Seagrasses_All_MPA","Seagrasses","ColdCorals_All_MPA_with_PS_mpashabitat","ColdCorals_PS_MPA","CoralReefs_All_MPA_with_PS_mpashabitat","CoralReefs_PS_MPA","KnollSeamounts_All_MPA_with_PS_mpashabitat","KnollSeamounts_PS_MPA","mangroves_All_MPA_with_PS_mpashabitat","mangroves_PS_MPA","Saltmarshes_All_MPA_with_PS_mpashabitat","Saltmarshes_PS_MPA","Seagrasses_All_MPA_with_PS_mpashabitat","Seagrasses_PS_MPA"
"20",0,1,101,454.884338378906,11727.3369140625,415105.78125,249,1842.11706542969,0,298.570495605469,28,272,0,0,6,6,60,60,0,0,0,0,0,0
"21",0,0,0,0,97418.59375,97529.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,33,73,626,48959.9921875,155304.671875,656,1561,91,223,96,1805,0,0,5,5,21793.03515625,21793.03515625,1,1,0,0,0,0
"23",0,0,0,7,0,127625.2734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,25047.07421875,77806.9296875,900.822204589844,1730.75390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,1,0,0,33.0916328430176,49499.640625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,1369.86804199219,109522.1640625,0,0,0,6.53608226776123,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"27",8,8,161.065536499023,161.065536499023,2525.93359375,2535.63916015625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,10,78,100818.7109375,476486.3125,0,0,0,0,1,4,0,0,4,4,10,10,0,0,0,0,0,0
"29",0,0.974877178668976,0,0,476.896850585938,104636.640625,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
